iter	Passed	Remaining
402	11400	11231
403	11428	11202
404	11457	11174
405	11485	11145
406	11512	11116
407	11541	11089
408	11571	11062
409	11599	11033
410	11627	11005
411	11658	10979
412	11689	10953
413	11718	10926
414	11748	10898
415	11778	10872
416	11805	10842
417	11834	10814
418	11864	10788
419	11892	10760
420	11922	10733
421	11950	10704
422	11978	10676
423	12009	10650
424	12037	10621
425	12067	10594
426	12095	10566
427	12123	10537
428	12154	10510
429	12183	10483
430	12214	10457
431	12242	10428
432	12269	10399
433	12299	10372
434	12327	10343
435	12357	10316
436	12384	10287
437	12413	10259
438	12442	10231
439	12472	10204
440	12500	10176
441	12527	10146
442	12558	10120
443	12586	10091
444	12615	10064
445	12642	10034
446	12671	10006
447	12700	9979
448	12729	9951
449	12759	9923
450	12787	9895
451	12815	9866
452	12845	9839
453	12874	9811
454	12902	9783
455	12930	9754
456	12960	9727
457	12987	9698
458	13017	9671
459	13045	9642
460	13073	9614
461	13103	9586
462	13133	9559
463	13161	9530
464	13191	9503
465	13220	9475
466	13248	9447
467	13280	9420
468	13309	9393
469	13337	9364
470	13365	9335
471	13392	9306
472	13420	9278
473	13450	9250
474	13478	9221
475	13507	9194
476	13536	9165
477	13563	9137
478	13593	9109
479	13621	9081
480	13651	9053
481	13679	9025
482	13708	8996
483	13737	8968
484	13766	8941
485	13795	8913
486	13826	8886
487	13855	8858
488	13883	8829
489	13911	8801
490	13941	8773
491	13971	8746
492	13999	8717
493	14027	8689
494	14056	8661
495	14087	8634
496	14118	8607
497	14148	8579
498	14176	8551
499	14206	8523
500	14235	8496
501	14264	8467
502	14291	8438
503	14322	8411
504	14351	8383
505	14379	8355
506	14408	8326
507	14438	8299
508	14467	8271
509	14498	8244
510	14527	8216
511	14556	8188
512	14585	8159
513	14613	8131
514	14641	8102
515	14669	8073
516	14698	8045
517	14727	8017
518	14756	7989
519	14785	7961
520	14814	7933
521	14846	7906
522	14876	7878
523	14905	7851
524	14934	7822
525	14964	7795
526	14994	7767
527	15026	7740
528	15059	7714
529	15090	7687
530	15121	7660
531	15149	7631
532	15181	7604
533	15211	7577
534	15239	7548
535	15269	7520
536	15297	7492
537	15329	7465
538	15361	7438
539	15392	7411
540	15423	7383
541	15452	7355
542	15481	7327
543	15510	7299
544	15539	7270
545	15569	7242
546	15597	7214
547	15627	7186
548	15656	7158
549	15686	7130
550	15716	7102
551	15745	7074
552	15773	7045
553	15803	7017
554	15834	6989
555	15866	6963
556	15899	6936
557	15939	6912
558	15977	6888
559	16005	6859
560	16034	6831
561	16063	6802
562	16092	6774
563	16120	6745
564	16149	6717
565	16178	6688
566	16206	6659
567	16234	6631
568	16262	6602
569	16290	6573
570	16319	6544
571	16348	6516
572	16377	6487
573	16405	6459
574	16435	6431
575	16464	6402
576	16493	6374
577	16522	6345
578	16550	6317
579	16579	6288
580	16608	6260
581	16637	6231
582	16666	6203
583	16697	6175
584	16725	6146
585	16753	6118
586	16783	6090
587	16811	6061
588	16839	6032
589	16868	6003
590	16895	5974
591	16924	5946
592	16953	5917
593	16982	5889
594	17011	5861
595	17039	5832
596	17068	5803
597	17097	5775
598	17126	5746
599	17153	5717
600	17183	5689
601	17212	5661
602	17242	5633
603	17271	5604
604	17300	5576
605	17327	5547
606	17356	5518
607	17391	5491
608	17424	5464
609	17458	5437
610	17488	5409
611	17518	5381
612	17555	5355
613	17586	5327
614	17616	5299
615	17645	5270
616	17679	5243
617	17715	5217
618	17748	5189
619	17777	5161
620	17809	5133
621	17840	5105
622	17876	5078
623	17910	5051
624	17946	5025
625	17976	4996
626	18009	4969
627	18045	4942
628	18076	4914
629	18106	4886
630	18137	4857
631	18179	4832
632	18210	4804
633	18239	4775
634	18267	4746
635	18299	4718
636	18328	4689
637	18358	4661
638	18388	4633
639	18418	4604
640	18449	4576
641	18478	4547
642	18508	4519
643	18537	4490
644	18567	4461
645	18597	4433
646	18625	4404
647	18655	4376
648	18685	4347
649	18715	4318
650	18744	4290
651	18774	4261
652	18803	4232
653	18833	4204
654	18862	4175
655	18891	4146
656	18920	4118
657	18949	4089
658	18979	4060
659	19009	4032
660	19037	4003
661	19065	3974
662	19094	3945
663	19123	3916
664	19153	3888
665	19185	3860
666	19221	3832
667	19251	3804
668	19280	3775
669	19309	3746
670	19338	3717
671	19368	3689
672	19398	3660
673	19428	3632
674	19458	3603
675	19487	3574
676	19516	3545
677	19546	3517
678	19575	3488
679	19606	3459
680	19634	3431
681	19662	3402
682	19691	3373
683	19720	3344
684	19749	3315
685	19780	3287
686	19808	3258
687	19837	3229
688	19867	3200
689	19896	3171
690	19927	3143
691	19956	3114
